id,name,pinyin
107,同江市,Tongjiang Shi
108,君山区,Junshan Qu
109,吴中区,Wuzhong Qu
110,吴江区,Wujiang Qu
111,吴江市,Wujiang Shi
112,周村区,Zhoucun Qu
113,周至县,Zhouzhi Xian
114,和林格尔县,Helingeer Xian
115,商城县,Shangcheng Xian
116,嘉定区,Jiading Qu
117,固安县,Gu'an Xian
118,土默特右旗,Tumoteyou Qi
119,埇桥区,Yongqiao Qu
120,城东区,Chengdong Qu
121,城北区,Chengbei Qu
122,城西区,Chengxi Qu
123,增城市,Zengcheng Shi
124,壶关县,Huguan Xian
125,大兴区,Daxing Qu
126,大城县,Dacheng Xian
127,大宁县,Daning Xian
128,大安区,Daan Qu
129,大理市,Dali Shi
130,大理经济开发区,Dali Jingji Kaifaqu
131,大田县,Datian Xian
132,天桥区,Tianqiao Qu
133,天河区,Tianhe Qu
134,天涯区,Tianya Qu
135,太和区,Taihe Qu
136,夷陵区,Yiling Qu
137,夹江县,Jiajiang Xian
138,奉贤区,Fengxian Qu
139,威远县,Weiyuan Xian
140,婺源县,Wuyuan Xian
141,子洲县,Zizhou Xian
142,孝义市,Xiaoyi Shi
143,孟州市,Mengzhou Shi
144,宁城县,Ningcheng Xian
145,宁安市,Ning'an Shi
146,宁河县,Ninghe Xian
147,宁海县,Ninghai Xian
148,宁都县,Ningdu Xian
149,宁阳县,Ningyang Xian
150,安化县,Anhua Xian
151,安吉县,Anji Xian
152,安塞县,Ansai Xian
153,安岳县,Anyue Xian
154,安新县,Anxin Xian
155,安源区,Anyuan Qu
156,安福县,Anfu Xian
157,安阳县,Anyang Xian
158,安陆市,Anlu Shi
159,安龙县,Anlong Xian
160,宏伟区,Hongwei Qu
161,官渡区,Guandu Qu
162,官渡社区,Guandu Shequ
163,定襄县,Dingxiang Xian
164,宜兴市,Yixing Shi
165,宜君县,Yijun Xian
166,宜良县,Yiliang Xian
167,宜都市,Yidu Shi
168,宝安区,Baoan Qu
169,宝应县,Baoying Xian
170,密云县,Miyun Xian
171,富平县,Fuping Xian
172,富拉尔基区,Fulaerji Qu
173,富源县,Fuyuan Xian
174,富阳市,Fuyang Shi
175,寿光市,Shouguang Shi
176,射洪县,Shehong Xian
177,小店区,Xiaodian Qu
178,尖草坪区,Jiancaoping Qu
179,尤溪县,Youxi Xian
180,尧都区,Yaodu Qu
181,屯溪区,Tunxi Qu
182,山城区,Shancheng Qu
183,崂山区,Laoshan Qu
184,崇州市,Chongzhou Shi
185,崇明区,Chongming Qu
186,嵊州市,Shengzhou Shi
187,嵩明县,Songming Xian
188,巍山彝族回族自治县,Weishan Yizu Huizu Zizhixian
189,左权县,Zuoquan Xian
190,巩义市,Gongyi Shi
191,巫溪县,Wuxi Xian
192,巴南区,Banan Qu
193,巴州区,Bazhou Qu
194,常熟市,Changshu Shi
195,平定县,Pingding Xian
196,平度市,Pingdu Shi
197,平昌县,Pingchang Xian
198,平潭县,Pingtan Xian
199,平遥县,Pingyao Xian
200,广安区,Guang'an Qu
201,广宗县,Guangzong Xian
202,广饶县,Guangrao Xian
203,府谷县,Fugu Xian
204,延平区,Yanping Qu
205,建平县,Jianping Xian
206,建德市,Jiande Shi
207,建湖县,Jianhu Xian
208,建瓯市,Jian'ou Shi
209,开阳县,Kaiyang Xian
210,张家港市,Zhangjiagang Shi
211,弥勒县,Mile Xian
212,彭州市,Pengzhou Shi
213,彭阳县,Pengyang Xian
214,循化撒拉族自治县,Xunhua Salazu Zizhixian
215,德化县,Dehua Xian
216,德城区,Decheng Qu
217,德庆县,Deqing Xian
218,怀柔区,Huairou Qu
219,怀柔县,Huairou Xian
220,恩施市,Enshi Shi
221,恩阳区,Enyang Qu
222,息烽县,Xifeng Xian
223,惠山区,Huishan Qu
224,惠济区,Huiji Qu
225,慈利县,Cili Xian
226,慈溪市,Cixi Shi
227,成华区,Chenghua Qu
228,成武县,Chengwu Xian
229,户县,Hu Xian
230,房山区,Fangshan Qu
231,扶绥县,Fusui Xian
232,抚松县,Fusong Xian
233,抚顺县,Fushun Xian
234,招远市,Zhaoyuan Shi
235,拱墅区,Gongshu Qu
236,揭东县,Jiedong Xian
237,文安县,Wenan Xian
238,文山县,Wenshan Xian
239,文水县,Wenshui Xian
240,新华区,Xinhua Qu
241,新城区,Xincheng Qu
242,新安县,Xin'an Xian
243,新昌县,Xinchang Xian
244,新沂市,Xinyi Shi
245,新田县,Xintian Xian
246,新界北区,Xinjie Beiqu
247,新罗区,Xinluo Shi
248,新邵县,Xinshao Xian
249,新都区,Xindu Qu
250,施甸县,Shidian Xian
251,无极县,Wuji Xian
252,昆山市,Kunshan Shi
253,昌乐县,Changle Xian
254,昌宁县,Changning Xian
255,昌平区,Changping Qu
256,昔阳县,Xiyang Xian
257,晋安区,Jin'an Qu
258,晋江市,Jinjiang Shi
259,晋源区,Jinyuan Qu
260,普宁市,Puning Shi
261,普安县,Puan Xian
262,景县,Jing Xian
263,曲阜市,Qufu Shi
264,望奎县,Wangkui Xian
265,朝阳区,Chaoyang Qu
266,未央区,Weiyang Qu
267,李沧区,Licang Qu
268,杨陵区,Yangling Qu
269,松滋市,Songzi Shi
270,松阳县,Songyang Xian
271,林州市,Linzhou Shi
272,枝江市,Zhijiang Shi
273,柯桥区,Keqiao Qu
274,柳城县,Liucheng Xian
275,栖霞市,Qixia Shi
276,栾城区,Luancheng Qu
277,桂平市,Guiping Shi
278,桃源县,Taoyuan Xian
279,桓仁满族自治县,Huanren Manzu Zizhixian
280,桥东区,Qiaodong Qu
281,桥西区,Qiaoxi Qu
282,梁河县,Lianghe Xian
283,梅县区,Meixian Qu
284,楚雄市,Chuxiong Shi
285,榆中县,Yuzhong Xian
286,榆阳区,Yuyang Qu
287,槐荫区,Huaiyin Qu
288,横山县,Hengshan Xian
289,歙县,She Xian
290,正定县,Zhengding Xian
291,武乡县,Wuxiang Xian
292,武安市,Wu'an Shi
293,武清区,Wuqing Qu
294,武穴市,Wuxue Shi
295,武进区,Wujin Qu
296,武陵区,Wuling Qu
297,民乐县,Minle Xian
298,永宁县,Yongning Xian
299,永定区,Yongding Qu
300,永定县,Yongding Xian
301,永川区,Yongchuan Qu
302,永年县,Yongnian Xian
303,永康市,Yongkang Shi
304,永春县,Yongchun Xian
305,永济市,Yongji Shi
306,永登县,Yongdeng Xian
307,永顺县,Yongshun Xian
308,汝州市,Ruzhou Shi
309,江北区,Jiangbei Qu
310,江山市,Jiangshan Shi
311,江川县,Jiangchuan Xian
312,江干区,Jianggan Qu
313,江阴市,Jiangyin Shi
314,汤阴县,Tangyin Xian
315,汾西县,Fenxi Xian
316,汾阳市,Fenyang Shi
317,沁水县,Qinshui Xian
318,沁源县,Qinyuan Xian
319,沁阳市,Qinyang Shi
320,沙县,Sha Xian
321,沙坪坝区,Shapingba Qu
322,沙河市,Shahe Shi
323,沙洋县,Shayang Xian
324,沧县,Cang Xian
325,河口区,Hekou Qu
326,河津市,Hejin Shi
327,泉港区,Quangang Qu
328,泊头市,Botou Shi
329,泸县,Lu Xian
330,泽州县,Zezhou Xian
331,洞头县,Dongtou Xian
332,津南区,Jinnan Qu
333,济源市,Jiyuan Shi
334,浦东新区,Pudong Xinqu
335,浦江县,Pujiang Xian
336,海州区,Haizhou Qu
337,海淀区,Haidian Qu
338,海港区,Haigang Qu
339,海阳市,Haiyang Shi
340,涉县,She Xian
341,涟源市,Lianyuan Shi
342,涵江区,Hanjiang Qu
343,淄川区,Zichuan Qu
344,淇县,Qi Xian
345,淮阳县,Huaiyang Xian
346,清徐县,Qingxu Xian
347,清涧县,Qingjian Xian
348,温县,Wen Xian
349,温江区,Wenjiang Qu
350,渭城区,Weicheng Qu
351,渭滨区,Weibin Qu
352,湖口县,Hukou Xian
353,湘东区,Xiangdong Qu
354,湘乡市,Xiangxiang Shi
355,湘潭县,Xiangtan Xian
356,溆浦县,Xupu Xian
357,滑县,Hua Xian
358,滕州市,Tengzhou Shi
359,滨江区,Binjiang Qu
360,滨湖区,Binhu Qu
361,潍城区,Weicheng Qu
362,潞城市,Lucheng Shi
363,澄城县,Chengcheng Xian
364,澄迈县,Chengmai Xian
365,濮阳县,Puyang Xian
366,灌云县,Guanyun Xian
367,灵宝县,Lingbao Xian
368,灵宝市,Lingbao Shi
369,灵寿县,Lingshou Xian
370,灵石县,Lingshi Xian
371,爱辉区,Aihui Qu
372,猇亭区,Xiaoting Qu
373,玉州区,Yuzhou Qu
374,环江毛南族自治县,Huanjiang Maonanzu Zizhixian
375,珲春市,Huichun Shi
376,瑞金市,Ruijin Shi
377,瓯海区,Ouhai Qu
378,甘州区,Ganzhou Qu
379,登封市,Dengfeng Shi
380,白云区,Baiyun Qu
381,盂县,Yu Xian
382,盐山县,Yanshan Xian
383,盐湖区,Yanhu Qu
384,盐都区,Yandu Qu
385,盖州市,Gaizhou Shi
386,相城区,Xiangcheng  Qu
387,相山区,Xiangshan Qu
388,石景山区,Shijingshan Qu
389,石林彝族自治县,Shilin Yizu Zizhixian
390,石泉县,Shiquan Xian
391,碑林区,Beilin Qu
392,社旗县,Sheqi Xian
393,祁县,Qi Xian
394,祁阳县,Qiyang Xian
395,神木县,Shenmu Xian
396,祥云县,Xiangyun Xian
397,禅城区,Chancheng Qu
398,福山区,Fushan Qu
399,福清市,Fuqing Shi
400,福田区,Futian Qu
401,秀英区,Xiuying Qu
402,秦安县,Qin'an Xian
403,竞秀区,Jingxiu Qu
404,简阳市,Jianyang Shi
405,管城回族区,Guancheng Huizu Qu
406,繁峙县,Fanshi Xian
407,红山区,Hongshan Qu
408,红花岗区,Honghuagang Qu
409,纳溪区,Naxi Qu
410,绍兴县,Shaoxing Xian
411,绥德县,Suide Xian
412,绩溪县,Jixi Xian
413,翼城县,Yicheng Xian
414,老城区,Laocheng Qu
415,肥城市,Feicheng Shi
416,腾冲市,Tengchong Shi
417,自流井区,Ziliujing Qu
418,芜湖县,Wuhu Xian
419,花都区,Huadu Qu
420,苍山县,Cangshan Xian
421,茅箭区,Maojian Qu
422,茶陵县,Chaling Xian
423,荆州区,Jingzhou Qu
424,荔城区,Licheng Qu
425,荥阳市,Xingyang Shi
426,莒南县,Ju'nan Xian
427,莫力达瓦达斡尔族自治旗,Moli Dawa Dawoerzu Zizhiqi
428,莱山区,Laishan Qu
429,莱州市,Laizhou Shi
430,莱西市,Laixi Shi
431,莲池区,Lianchi Qu
432,营山县,Yingshan Xian
433,萧山区,Xiaoshan Qu
434,蒲江县,Pujiang Xian
435,蓝山县,Lanshan Xian
436,蓝田县,Lantian Xian
437,蓬安县,Peng'an Xian
438,蓬溪县,Pengxi Xian
439,蔡甸区,Caidian Qu
440,蕉城区,Jiaocheng Qu
441,衡阳县,Hengyang Xian
442,襄汾县,Xiangfen Xian
443,西乡塘区,Xixiangtang Qu
444,西山区,Xishan Qu
445,西峡县,Xixia Xian
446,西峰区,Xifeng Qu
447,西秀区,Xixiu Qu
448,西青区,Xiqing Qu
449,诸城市,Zhucheng Shi
450,诸暨市,Zhuji Shi
451,象山县,Xiangshan Xian
452,贾汪区,Jiawang Qu
453,赞皇县,Zanhuang Xian
454,赵县,Zhao Xian
455,越城区,Yuecheng Qu
456,辉县市,Huixian Shi
457,辛集市,Xinji Shi
458,达拉特旗,Dalate Qi
459,连江县,Lianjiang Xian
460,通山县,Tongshan Xian
461,通州区,Tongzhou Qu
462,通海县,Tonghai Xian
463,通渭县,Tongwei Xian
464,遂昌县,Suichang Xian
465,道县,Dao Xian
466,邕宁区,Yongning Qu
467,邗江区,Hanjiang Qu
468,邛崃市,Qionglai Shi
469,邯郸县,Handan Xian
470,邳州市,Pizhou Shi
471,邵东县,Shaodong Xian
472,邹平县,Zouping Xian
473,郊区,Jiao Qu
474,郑东新区,Zhengdong Xinqu
475,郓城县,Yuncheng Xian
476,郧县,Yun Xian
477,都安瑶族自治县,Du'an Yaozu Zizhixian
478,都江堰市,Dujiangyan Shi
479,鄂城区,Echeng Qu
480,鄞州区,Yinzhou Qu
481,鄯善县,Shanshan Xian
482,金台区,Jintai Qu
483,金寨县,Jinzhai Xian
484,金山区,Jinshan Qu
485,金平苗族瑶族傣族自治县,Jinping Miaozu Yaozu Daizu Zizhixian
486,金水区,Jinshui Qu
487,铁东区,Tiedong Qu
488,锦屏县,Jinping Xian
489,镇远县,Zhenyuan Xian
490,长兴县,Changxing Xian
491,长垣县,Changyuan Xian
492,长子县,Zhangzi Xian
493,长岛县,Changdao Xian
494,长沙县,Changsha Xian
495,长治县,Changzhi Xian
496,长葛市,Changge Shi
497,门头沟区,Mentougou Qu
498,闵行区,Minhang Qu
499,闻喜县,Wenxi Xian
500,闽侯县,Minhou Xian
501,阜新蒙古族自治县,Fuxin Mengguzu Zizhixian
502,阳原县,Yangyuan Xian
503,阳城县,Yangcheng Xian
504,阳高县,Yanggao Xian
505,陕县,Shan Xian
506,隆回县,Longhui Xian
507,隆德县,Longde Xian
508,隆林各族自治县,Longlin Gezu Zizhixian
509,隆阳区,Longyang Qu
510,隰县,Xi Xian
511,雁塔区,Yanta Qu
512,雨花区,Yuhua Qu
513,霍山县,Huoshan Xian
514,霍邱县,Huoqiu Xian
515,霞浦县,Xiapu Xian
516,霸州市,Bazhou Shi
517,青县,Qing Xian
518,青浦区,Qingpu Qu
519,青神县,Qingshen Xian
520,青秀区,Qingxiu Qu
521,静海县,Jinghai Xian
522,韩城市,Hancheng Shi
523,顺义区,Shunyi Qu
524,顺平县,Shunping Xian
525,顺德区,Shunde Qu
526,顺昌县,Shunchang Xian
527,马尾区,Mawei Qu
528,高台县,Gaotai Xian
529,高密市,Gaomi Shi
530,高州市,Gaozhou Shi
531,高平市,Gaoping Shi
532,高新区,Gaoxin Qu
533,高淳县,Gaochun Xian
534,高碑店市,Gaobeidian Shi
535,高邑县,Gaoyi Xian
536,高青县,Gaoqing Xian
537,魏县,Wei Xian
538,鹿泉区,Luquan Qu
539,鹿泉市,Luquan Shi
540,麦积区,Maiji Qu
541,麻章区,Mazhang Qu
542,麻阳苗族自治县,Mayang Miaozu Zizhixian
543,黄埔区,Huangpu Qu
544,黄平县,Huangping Xian
545,黄浦区,Huangpu Qu
546,黄陂区,Huangpi Qu
547,黄骅市,Huanghua Shi
548,黎城县,Licheng Xian
549,黎平县,Liping Xian
550,鼎城区,Dingcheng Qu
551,鼓楼区,Gulou Qu
552,齐河县,Qihe Xian
553,龙口市,Longkou Shi
554,龙山县,Longshan Xian
555,龙川县,Longchuan Xian
556,龙泉市,Longquan Shi
557,龙泉驿区,Longquanyi Qu
558,龙湾区,Longwan Qu
