村志代码 Gazetteer Code,村志书名 Gazetteer Title,Category,Division1,Division2,Start Year,End Year,Data
0014,桑耳庄村志,新党员 New CCP Membership,男 Male,,1950,1965,20
0014,桑耳庄村志,新党员 New CCP Membership,总 Total,,1983,2000,16
0021,张坊村志,入伍 Military Enlistment,,,1955,2010,104
0022,张家圩子村志,村民纠纷 Number of Civil Mediations,,,1983,2011,184
0023,凤池村志,共产党员 CCP Membership,总 Total,,1951,2006,59
0025,马头村志,新党员 New CCP Membership,总 Total,,1990,1999,17
0025,马头村志,新党员 New CCP Membership,总 Total,,2000,2012,34
0030,管元村志,入伍 Military Enlistment,,,1949,2004,71
0030,管元村志,共产党员 CCP Membership,男 Male,,1949,2004,23
0030,管元村志,共产党员 CCP Membership,女 Female,,1949,2004,11
0030,管元村志,共产党员 CCP Membership,总 Total,,1949,2004,40
0030,管元村志,共产党员 CCP Membership,少数民族 Ethnic Minorities,,1949,2004,11
0031,南凤山村志,共产党员 CCP Membership,男 Male,,1979,2008,35
0031,南凤山村志,共产党员 CCP Membership,女 Female,,1979,2008,20
0031,南凤山村志,共产党员 CCP Membership,总 Total,,1979,2008,55
0031,南凤山村志,新党员 New CCP Membership,总 Total,,1979,2008,27
0033,见守村志,入伍 Military Enlistment,,,1949,2005,101
0033,见守村志,共产党员 CCP Membership,总 Total,,1949,2005,68
0034,胡家村志,共产党员 CCP Membership,总 Total,,1952,1953,7
0035,洪塘头村志,共产党员 CCP Membership,总 Total,,1955,1956,3
0035,洪塘头村志,共产党员 CCP Membership,总 Total,,1984,1987,38
0035,洪塘头村志,共产党员 CCP Membership,总 Total,,1994,1996,50
0038,梁口村志,共产党员 CCP Membership,男 Male,,1949,2008,67
0038,梁口村志,共产党员 CCP Membership,女 Female,,1949,2008,2
0038,梁口村志,入伍 Military Enlistment,,,1949,2008,76
0038,梁口村志,共产党员 CCP Membership,总 Total,,1949,2008,69
0039,骏马村志,共产党员 CCP Membership,总 Total,,2002,2012,155
0040,金家坪村志,入伍 Military Enlistment,,,1949,2007,73
0040,金家坪村志,村民纠纷 Number of Civil Mediations,,,1996,2006,94
0041,博潭村志,共产党员 CCP Membership,总 Total,,1965,1980,25
0042,新桥村志,入伍 Military Enlistment,,,1950,2006,119
0042,新桥村志,新党员 New CCP Membership,总 Total,,1953,1956,9
0044,大吕庄村志,村民纠纷 Number of Civil Mediations,,,1996,2009,460
0047,冯桥村志,入伍 Military Enlistment,,,1955,2004,83
0047,冯桥村志,新党员 New CCP Membership,总 Total,,1950,1959,11
0047,冯桥村志,新党员 New CCP Membership,总 Total,,1960,1969,34
0047,冯桥村志,新党员 New CCP Membership,总 Total,,1970,1979,23
0047,冯桥村志,新党员 New CCP Membership,总 Total,,1980,1989,11
0047,冯桥村志,新党员 New CCP Membership,总 Total,,1990,1999,21
0047,冯桥村志,新党员 New CCP Membership,总 Total,,2001,2006,12
0048,小瓦窑村志,阶级成分 Class Status,,地主 Landlord,1949,1952,32
0048,小瓦窑村志,阶级成分 Class Status,,富农 Rich Peasant,1949,1952,12
0048,小瓦窑村志,阶级成分 Class Status,,中农 Middle Peasant,1949,1952,155
0048,小瓦窑村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1949,1952,241
0050,音西村志,共产党员 CCP Membership,总 Total,,1956,1965,65
0050,音西村志,新党员 New CCP Membership,总 Total,,1995,2000,41
0052,郭家沟村志,共产党员 CCP Membership,总 Total,,1965,1966,17
0052,郭家沟村志,共产党员 CCP Membership,总 Total,,1977,1998,45
0052,郭家沟村志,新党员 New CCP Membership,男 Male,,1999,2010,15
0052,郭家沟村志,新党员 New CCP Membership,女 Female,,1999,2010,9
0052,郭家沟村志,新党员 New CCP Membership,总 Total,,1965,1966,8
0052,郭家沟村志,新党员 New CCP Membership,总 Total,,1966,1976,9
0052,郭家沟村志,新党员 New CCP Membership,总 Total,,1977,1998,17
0052,郭家沟村志,新党员 New CCP Membership,总 Total,,1999,2010,24
0053,牟家村志,入伍 Military Enlistment,,,1956,2004,84
0056,沐陂村志,入伍 Military Enlistment,,,1949,2007,49
0057,尧治河村志,入伍 Military Enlistment,,,1949,2009,25
0058,袁家沟村志,入伍 Military Enlistment,,,1949,2008,50
0058,袁家沟村志,新党员 New CCP Membership,总 Total,,1965,2008,40
0058,袁家沟村志,新党员 New CCP Membership,总 Total,,1965,1966,14
0063,盘山村志,共产党员 CCP Membership,总 Total,,2001,2008,52
0063,盘山村志,共产党员 CCP Membership,总 Total,,1950,1965,36
0063,盘山村志,共产党员 CCP Membership,总 Total,,1966,1970,68
0063,盘山村志,共产党员 CCP Membership,总 Total,,1971,1978,67
0063,盘山村志,共产党员 CCP Membership,总 Total,,1979,2000,46
0063,盘山村志,新党员 New CCP Membership,总 Total,,1950,1965,14
0063,盘山村志,新党员 New CCP Membership,总 Total,,1966,1970,31
0063,盘山村志,新党员 New CCP Membership,总 Total,,1971,1978,5
0063,盘山村志,新党员 New CCP Membership,总 Total,,1979,2000,11
0063,盘山村志,新党员 New CCP Membership,总 Total,,2001,2008,8
0064,三路居村志,入伍 Military Enlistment,,,1949,2008,52
0066,四马台村志,共产党员 CCP Membership,总 Total,,1950,2010,64
0067,西洞头村志,共产党员 CCP Membership,女 Female,,1955,2004,2
0067,西洞头村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,6
0067,西洞头村志,共产党员 CCP Membership,男 Male,,1955,2004,36
0067,西洞头村志,共产党员 CCP Membership,总 Total,,1955,2004,38
0068,五河苗族村志,入伍 Military Enlistment,,,1950,2000,57
0070,乌玉村志,入伍 Military Enlistment,,,1955,2000,60
0070,乌玉村志,阶级成分 Class Status,,地主 Landlord,1947,1952,9
0070,乌玉村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,8
0070,乌玉村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,47
0070,乌玉村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,89
0071,前夹山村志,入伍 Military Enlistment,,,1950,1959,20
0071,前夹山村志,共产党员 CCP Membership,女 Female,,1950,1965,6
0071,前夹山村志,共产党员 CCP Membership,总 Total,,1950,1965,26
0071,前夹山村志,共产党员 CCP Membership,总 Total,,1966,1970,23
0071,前夹山村志,共产党员 CCP Membership,总 Total,,1971,1987,46
0073,三元朱村志,共产党员 CCP Membership,总 Total,,1963,1966,9
0074,上东廓村志,入伍 Military Enlistment,,,1947,2007,79
0076,沁水营村志,新党员 New CCP Membership,总 Total,,1950,1969,9
0076,沁水营村志,新党员 New CCP Membership,总 Total,,1970,2009,25
0076,沁水营村志,阶级成分 Class Status,,地主 Landlord,1949,1950,9
0076,沁水营村志,阶级成分 Class Status,,富农 Rich Peasant,1949,1950,4
0076,沁水营村志,阶级成分 Class Status,,中农 Middle Peasant,1949,1950,38
0076,沁水营村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1949,1950,87
0078,三八里村志,村民纠纷 Number of Civil Mediations,,,1990,1999,89
0078,三八里村志,村民纠纷 Number of Civil Mediations,,,2007,2009,35
0078,三八里村志,共产党员 CCP Membership,总 Total,,1948,1950,12
0078,三八里村志,共产党员 CCP Membership,总 Total,,1951,1960,16
0079,坦头村志,入伍 Military Enlistment,,,1955,2013,35
0079,坦头村志,新党员 New CCP Membership,总 Total,,1956,2013,35
0080,新店村志,阶级成分 Class Status,,地主 Landlord,1951,1952,1
0080,新店村志,阶级成分 Class Status,,中农 Middle Peasant,1951,1952,25
0080,新店村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1951,1952,124
0081,北仪仙村志,入伍 Military Enlistment,,,1984,1995,135
0081,北仪仙村志,共产党员 CCP Membership,总 Total,,1990,1992,78
0082,北良侯村志,入伍 Military Enlistment,,,1949,1999,23
0082,北良侯村志,阶级成分 Class Status,,富农 Rich Peasant,1946,1952,1
0082,北良侯村志,阶级成分 Class Status,,中农 Middle Peasant,1946,1952,64
0082,北良侯村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1946,1952,74
0083,柏沟村志,入伍 Military Enlistment,,,1956,1994,14
0083,柏沟村志,新党员 New CCP Membership,总 Total,,1956,1994,18
0083,柏沟村志,阶级成分 Class Status,,富农 Rich Peasant,1946,1952,3
0083,柏沟村志,阶级成分 Class Status,,中农 Middle Peasant,1946,1952,24
0083,柏沟村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1946,1952,26
0088,传字营村志,入伍 Military Enlistment,,,1949,1997,114
0089,新立村志,共产党员 CCP Membership,男 Male,,1949,1999,107
0089,新立村志,共产党员 CCP Membership,女 Female,,1949,1999,17
0089,新立村志,共产党员 CCP Membership,总 Total,,1949,1999,124
0091,福保村志,阶级成分 Class Status,,地主 Landlord,1950,1952,11
0091,福保村志,阶级成分 Class Status,,富农 Rich Peasant,1950,1952,14
0092,上南村志,阶级成分 Class Status,,地主 Landlord,1947,1952,9
0092,上南村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,1
0092,上南村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,158
0092,上南村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,368
0093,霍庄子村志,入伍 Military Enlistment,,,1955,2012,94
0093,霍庄子村志,新党员 New CCP Membership,总 Total,,1949,1956,2
0093,霍庄子村志,新党员 New CCP Membership,总 Total,,1956,1966,53
0093,霍庄子村志,新党员 New CCP Membership,总 Total,,1966,1980,8
0093,霍庄子村志,新党员 New CCP Membership,总 Total,,1980,1995,6
0094,长畛村志,入伍 Military Enlistment,,,1963,2006,28
0096,大蒋庄村志,入伍 Military Enlistment,,,1954,1993,40
0097,插旗山村志,村民纠纷 Number of Civil Mediations,,,1986,2014,173
0097,插旗山村志,共产党员 CCP Membership,总 Total,,1951,2012,75
0097,插旗山村志,新党员 New CCP Membership,总 Total,,1960,1969,3
0097,插旗山村志,新党员 New CCP Membership,总 Total,,1970,1979,20
0097,插旗山村志,新党员 New CCP Membership,总 Total,,1980,1989,4
0097,插旗山村志,新党员 New CCP Membership,总 Total,,1990,1999,15
0097,插旗山村志,新党员 New CCP Membership,总 Total,,2000,2014,26
0098,福德村志,入伍 Military Enlistment,,,1954,2011,97
0099,银桥村村志,阶级成分 Class Status,,地主 Landlord,1951,1952,36
0099,银桥村村志,阶级成分 Class Status,,富农 Rich Peasant,1951,1952,5
0099,银桥村村志,阶级成分 Class Status,,中农 Middle Peasant,1951,1952,181
0099,银桥村村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1951,1952,386
0113,东古城村志,入伍 Military Enlistment,,,1955,1977,35
0113,东古城村志,入伍 Military Enlistment,,,1978,2013,29
0114,涌泉村志,入伍 Military Enlistment,,,1949,2007,400
0115,荷湖村志,入伍 Military Enlistment,,,1952,2009,46
0116,青峰村志,入伍 Military Enlistment,,,1951,2013,42
0118,百子畈村志,入伍 Military Enlistment,,,1949,2015,211
0118,百子畈村志,新党员 New CCP Membership,女 Female,,1957,2015,40
0118,百子畈村志,新党员 New CCP Membership,总 Total,,1957,2015,110
0118,百子畈村志,阶级成分 Class Status,,地主 Landlord,1947,1952,5
0118,百子畈村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,7
0118,百子畈村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,35
0118,百子畈村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,242
0120,小库木尔村志,阶级成分 Class Status,,地主 Landlord,1947,1952,1
0120,小库木尔村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,2
0120,小库木尔村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,3
0123,小三家子村志,入伍 Military Enlistment,,,1950,1995,16
0123,小三家子村志,阶级成分 Class Status,,富农 Rich Peasant,1948,1952,3
0123,小三家子村志,阶级成分 Class Status,,中农 Middle Peasant,1948,1952,11
0123,小三家子村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1948,1952,6
0127,浪营村志,入伍 Military Enlistment,,,1956,2007,16
0128,白沙村志,新党员 New CCP Membership,总 Total,,1965,1966,2
0129,高庙村志,新党员 New CCP Membership,总 Total,,1955,1956,13
0129,高庙村志,新党员 New CCP Membership,总 Total,,1958,1960,17
0129,高庙村志,新党员 New CCP Membership,总 Total,,1967,1976,25
0129,高庙村志,新党员 New CCP Membership,总 Total,,1978,2000,18
0129,高庙村志,阶级成分 Class Status,,地主 Landlord,1951,1952,10
0129,高庙村志,阶级成分 Class Status,,富农 Rich Peasant,1951,1952,3
0131,双庄村村志,共产党员 CCP Membership,总 Total,,1956,2014,76
0131,双庄村村志,共产党员 CCP Membership,女 Female,,1956,2014,15
0131,双庄村村志,共产党员 CCP Membership,男 Male,,1956,2014,61
0132,毕家上流村志,入伍 Military Enlistment,,,1950,2009,101
0132,毕家上流村志,共产党员 CCP Membership,男 Male,,1953,2010,105
0132,毕家上流村志,共产党员 CCP Membership,女 Female,,1953,2010,23
0132,毕家上流村志,共产党员 CCP Membership,总 Total,,1953,2010,128
0133,天穆村志,新党员 New CCP Membership,总 Total,,1950,1959,62
0133,天穆村志,新党员 New CCP Membership,总 Total,,1960,1969,48
0133,天穆村志,新党员 New CCP Membership,总 Total,,1970,1979,110
0133,天穆村志,新党员 New CCP Membership,总 Total,,1980,1989,47
0133,天穆村志,新党员 New CCP Membership,总 Total,,1990,1999,25
0133,天穆村志,新党员 New CCP Membership,总 Total,,2000,2009,13
0135,苏波盖村志,阶级成分 Class Status,,地主 Landlord,1947,1952,29
0135,苏波盖村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,8
0135,苏波盖村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,58
0135,苏波盖村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,156
0135,苏波盖村志,刑事案件 Number of Reported Crimes,,,1950,1953,73
0135,苏波盖村志,刑事案件 Number of Reported Crimes,,,1954,1955,36
0135,苏波盖村志,刑事案件 Number of Reported Crimes,,,1983,1986,9
0136,丹村志,入伍 Military Enlistment,,,1955,2008,71
0138,东颜村志,入伍 Military Enlistment,,,1980,2008,19
0138,东颜村志,入伍 Military Enlistment,,,1949,2008,85
0138,东颜村志,共产党员 CCP Membership,总 Total,,1980,1989,37
0138,东颜村志,新党员 New CCP Membership,总 Total,,1960,1969,17
0138,东颜村志,新党员 New CCP Membership,总 Total,,1970,1979,11
0138,东颜村志,新党员 New CCP Membership,总 Total,,1949,1952,6
0141,大三家村志,入伍 Military Enlistment,,,1949,2011,85
0142,纳家户村志,共产党员 CCP Membership,总 Total,,1980,1982,63
0144,上庄村志,入伍 Military Enlistment,,,1949,2000,87
0145,宝狮村志,入伍 Military Enlistment,,,1949,2012,81
0145,宝狮村志,共产党员 CCP Membership,总 Total,,1967,1969,33
0145,宝狮村志,共产党员 CCP Membership,总 Total,,1970,1972,33
0145,宝狮村志,共产党员 CCP Membership,总 Total,,1997,2004,44
0145,宝狮村志,共产党员 CCP Membership,总 Total,,1985,1987,32
0150,宝才村志,入伍 Military Enlistment,,,1950,2006,168
0150,宝才村志,共产党员 CCP Membership,总 Total,,1956,1957,80
0150,宝才村志,共产党员 CCP Membership,总 Total,,1958,1965,32
0150,宝才村志,共产党员 CCP Membership,总 Total,,1983,1989,57
0150,宝才村志,共产党员 CCP Membership,总 Total,,1989,1994,62
0150,宝才村志,新党员 New CCP Membership,总 Total,,1970,1982,32
0150,宝才村志,新党员 New CCP Membership,总 Total,,1983,1989,6
0150,宝才村志,新党员 New CCP Membership,总 Total,,1989,1994,5
0150,宝才村志,新党员 New CCP Membership,总 Total,,1994,2000,12
0150,宝才村志,新党员 New CCP Membership,总 Total,,2001,2006,16
0151,宜安村志,共产党员 CCP Membership,女 Female,,1949,2012,38
0151,宜安村志,共产党员 CCP Membership,总 Total,,1949,2012,200
0153,叶坪村志,入伍 Military Enlistment,,,1949,2001,88
0156,百花村志,村民纠纷 Number of Civil Mediations,,,2008,2010,8
0158,茅草村志,入伍 Military Enlistment,,,1950,2007,145
0158,茅草村志,共产党员 CCP Membership,总 Total,,1951,2007,134
0158,茅草村志,新党员 New CCP Membership,男 Male,,1951,2007,130
0158,茅草村志,新党员 New CCP Membership,女 Female,,1951,2007,4
0158,茅草村志,新党员 New CCP Membership,总 Total,,1951,2007,134
0166,赤土村志,新党员 New CCP Membership,总 Total,,1950,2008,236
0166,赤土村志,阶级成分 Class Status,,地主 Landlord,1947,1952,8
0166,赤土村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,10
0166,赤土村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,223
0166,赤土村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,407
0167,南店村志,入伍 Military Enlistment,,,1954,2000,43
0170,鲍家寨村志,共产党员 CCP Membership,男 Male,,1954,2003,15
0170,鲍家寨村志,共产党员 CCP Membership,女 Female,,1970,2003,9
0170,鲍家寨村志,共产党员 CCP Membership,总 Total,,1954,2006,24
0172,定平村志,共产党员 CCP Membership,总 Total,,1964,1965,33
0172,定平村志,共产党员 CCP Membership,总 Total,,1966,1969,41
0172,定平村志,共产党员 CCP Membership,总 Total,,1986,1987,45
0172,定平村志,共产党员 CCP Membership,总 Total,,2005,2006,52
0172,定平村志,新党员 New CCP Membership,总 Total,,1964,1965,5
0173,果山村志,入伍 Military Enlistment,,,1950,2008,39
0174,蔡宅村志,入伍 Military Enlistment,,,1950,1954,49
0176,汪家塬村志,入伍 Military Enlistment,,,1949,2015,52
0177,船房村志,共产党员 CCP Membership,总 Total,,1971,1974,63
0177,船房村志,共产党员 CCP Membership,总 Total,,1979,1981,67
0177,船房村志,共产党员 CCP Membership,总 Total,,1981,1984,72
0177,船房村志,共产党员 CCP Membership,总 Total,,2002,2004,138
0177,船房村志,新党员 New CCP Membership,总 Total,,1963,1965,29
0177,船房村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,41
0177,船房村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,279
0177,船房村志,入伍 Military Enlistment,,,1956,2005,136
0177,船房村志,新党员 New CCP Membership,总 Total,,2002,2004,2
0179,木民村志,阶级成分 Class Status,,地主 Landlord,1947,1952,7
0179,木民村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,1
0179,木民村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,75
0179,木民村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,301
0180,红城村志,入伍 Military Enlistment,,,1955,1995,87
0180,红城村志,阶级成分 Class Status,,地主 Landlord,1947,1952,8
0180,红城村志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,9
0180,红城村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,21
0180,红城村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,129
0181,弼唐村志,入伍 Military Enlistment,,,1979,2006,19
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1954,1955,7
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1955,1958,9
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1958,1961,11
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1961,1963,13
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1963,1968,15
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1983,1985,30
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1985,1989,33
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1989,1993,36
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1993,1996,38
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1996,1999,42
0181,弼唐村志,共产党员 CCP Membership,总 Total,,1999,2003,44
0181,弼唐村志,共产党员 CCP Membership,总 Total,,2003,2004,47
0181,弼唐村志,共产党员 CCP Membership,总 Total,,2004,2007,49
0181,弼唐村志,共产党员 CCP Membership,总 Total,,2007,2008,69
0183,旧城村志,共产党员 CCP Membership,总 Total,,1953,2004,52
0184,横西村志,入伍 Military Enlistment,,,1955,2006,78
0186,白岩洞村志,阶级成分 Class Status,,地主 Landlord,1949,1951,11
0187,百泉村志,新党员 New CCP Membership,总 Total,,1950,1959,12
0187,百泉村志,新党员 New CCP Membership,总 Total,,1960,1969,52
0187,百泉村志,新党员 New CCP Membership,总 Total,,1970,1979,18
0187,百泉村志,新党员 New CCP Membership,总 Total,,1980,1989,11
0187,百泉村志,新党员 New CCP Membership,总 Total,,1990,1999,21
0188,调塾村志,入伍 Military Enlistment,,,1949,2004,90
0189,苑口村志,新党员 New CCP Membership,总 Total,,1949,1966,3
0189,苑口村志,新党员 New CCP Membership,总 Total,,1969,1975,27
0189,苑口村志,新党员 New CCP Membership,总 Total,,1975,1976,3
0189,苑口村志,新党员 New CCP Membership,总 Total,,1977,1979,10
0189,苑口村志,新党员 New CCP Membership,总 Total,,1979,1998,10
0190,范家店村志,入伍 Military Enlistment,,,1951,2009,93
0192,三桥村志,入伍 Military Enlistment,,,1949,2007,141
0194,界首村志,入伍 Military Enlistment,,,1951,1953,7
0194,界首村志,新党员 New CCP Membership,总 Total,,1981,2006,22
0195,珂里庄志,阶级成分 Class Status,,地主 Landlord,1947,1952,7
0195,珂里庄志,阶级成分 Class Status,,富农 Rich Peasant,1947,1952,7
0195,珂里庄志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,37
0195,珂里庄志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,57
0198,徐家河村志,入伍 Military Enlistment,,,1950,2005,36
0199,勤丰村志,入伍 Military Enlistment,,,1951,2009,209
0199,勤丰村志,阶级成分 Class Status,,地主 Landlord,1947,1952,3
0199,勤丰村志,阶级成分 Class Status,,富农 Rich Peasant,1949,1952,3
0199,勤丰村志,阶级成分 Class Status,,中农 Middle Peasant,1947,1952,138
0199,勤丰村志,阶级成分 Class Status,,贫下中农 Poor and Lower Middle Peasant,1947,1952,565
0201,永联村志,入伍 Military Enlistment,,,1971,2012,95
0201,永联村志,新党员 New CCP Membership,总 Total,,1957,1966,21
0205,黄土村志,入伍 Military Enlistment,,,1949,1952,10
0205,黄土村志,入伍 Military Enlistment,,,1951,1994,98
0205,黄土村志,新党员 New CCP Membership,总 Total,,1955,1958,17
0205,黄土村志,新党员 New CCP Membership,总 Total,,1952,1954,5
0206,上关村志,共产党员 CCP Membership,总 Total,,1996,1998,60
0206,上关村志,共产党员 CCP Membership,总 Total,,2001,2003,90
0208,人民塘村志,入伍 Military Enlistment,,,1949,2013,186
0209,海东村志,入伍 Military Enlistment,,,1949,2011,97
0211,山邑村志,入伍 Military Enlistment,,,1951,2004,108
0218,九星村志,新党员 New CCP Membership,总 Total,,1959,1962,4
0218,九星村志,新党员 New CCP Membership,总 Total,,1996,2006,15
0218,九星村志,新党员 New CCP Membership,总 Total,,2009,2011,6
0219,金凤村志,入伍 Military Enlistment,,,1949,2120,44
0219,金凤村志,新党员 New CCP Membership,总 Total,,1955,1960,9
0219,金凤村志,新党员 New CCP Membership,总 Total,,1966,1969,15
0219,金凤村志,新党员 New CCP Membership,总 Total,,1976,1984,11
0221,南胜村志,入伍 Military Enlistment,,,1949,2011,148
0221,南胜村志,新党员 New CCP Membership,总 Total,,1949,1959,14
0221,南胜村志,新党员 New CCP Membership,总 Total,,1984,1987,14
0221,南胜村志,新党员 New CCP Membership,总 Total,,1988,1999,25
0221,南胜村志,新党员 New CCP Membership,总 Total,,2000,2011,10
0222,唐家岭村志,入伍 Military Enlistment,,,1949,2008,124
0229,上马坊村志,入伍 Military Enlistment,,,1954,2007,20
0230,果园村志,入伍 Military Enlistment,,,1956,2012,86
0230,果园村志,刑事案件 Number of Reported Crimes,,,1998,2012,100
0230,果园村志,共产党员 CCP Membership,总 Total,,1957,1989,75
0230,果园村志,新党员 New CCP Membership,总 Total,,1954,1957,13
0231,众安村志,入伍 Military Enlistment,,,1950,2014,151
0231,众安村志,共产党员 CCP Membership,总 Total,,1977,1979,55
0231,众安村志,共产党员 CCP Membership,总 Total,,1997,1999,86
0233,棠东村志,共产党员 CCP Membership,总 Total,,1950,2004,106
0234,小坑村志,入伍 Military Enlistment,,,1949,2005,23
0236,榆林村志,入伍 Military Enlistment,,,1949,2012,68
0236,榆林村志,新党员 New CCP Membership,总 Total,,1950,1959,18
0236,榆林村志,新党员 New CCP Membership,总 Total,,1960,1969,32
0236,榆林村志,新党员 New CCP Membership,总 Total,,1970,1979,15
0236,榆林村志,新党员 New CCP Membership,总 Total,,1980,1989,13
0236,榆林村志,新党员 New CCP Membership,总 Total,,1990,1999,15
0236,榆林村志,新党员 New CCP Membership,总 Total,,2000,2010,48
0236,榆林村志,新党员 New CCP Membership,总 Total,,2011,2012,8
0238,界龙村志,入伍 Military Enlistment,,,1949,1955,9
0238,界龙村志,入伍 Military Enlistment,,,1955,1984,91
0238,界龙村志,入伍 Military Enlistment,,,1984,2010,40
0238,界龙村志,入伍 Military Enlistment,,,1949,2010,140
0238,界龙村志,新党员 New CCP Membership,总 Total,,1954,1956,17
0241,龙爪树村志,新党员 New CCP Membership,总 Total,,2007,2010,10
0242,横浦村志,入伍 Military Enlistment,,,1988,2010,120
0242,横浦村志,新党员 New CCP Membership,男 Male,,1954,1959,30
0242,横浦村志,新党员 New CCP Membership,男 Male,,1960,1969,38
0242,横浦村志,新党员 New CCP Membership,男 Male,,1970,1979,37
0242,横浦村志,新党员 New CCP Membership,男 Male,,1980,1989,28
0242,横浦村志,新党员 New CCP Membership,男 Male,,1990,1999,21
0242,横浦村志,新党员 New CCP Membership,男 Male,,2000,2010,9
0242,横浦村志,新党员 New CCP Membership,女 Female,,1954,1959,6
